pop,iters,res
100,20,"[0, 1, 0, 0, 1]"
100,40,"[0, 0, 0, 0, 0]"
100,60,"[0, 1, 1, 1, 0]"
100,80,"[1, 1, 0, 1, 1]"
100,100,"[1, 1, 0, 0, 0]"
100,120,"[1, 0, 1, 0, 0]"
100,140,"[0, 0, 1, 0, 1]"
100,160,"[1, 1, 0, 1, 1]"
100,180,"[1, 1, 0, 0, 1]"
100,200,"[0, 0, 1, 0, 0]"
100,220,"[1, 0, 1, 0, 0]"
100,240,"[2, 0, 1, 0, 1]"
100,260,"[1, 2, 1, 1, 1]"
100,280,"[2, 1, 2, 1, 1]"
100,300,"[1, 1, 2, 2, 1]"
100,320,"[1, 1, 2, 1, 1]"
100,340,"[1, 2, 2, 2, 2]"
100,360,"[2, 2, 2, 1, 2]"
100,380,"[1, 2, 2, 2, 1]"
100,400,"[1, 2, 1, 1, 1]"
